AUC ROC,Number of Trees,Max Depth,Min Samples per Leaf
0.6187865497076023,6,1,10
0.763157894736842,6,1,15
0.5109649122807017,6,1,20
0.6249999999999999,6,1,25
0.5109649122807017,6,1,30
0.5,6,1,35
0.7441520467836258,6,1,40
0.6114766081871345,6,1,45
0.5263157894736842,6,1,50
0.6546052631578947,6,1,55
0.5263157894736842,6,1,60
0.697733918128655,6,2,10
0.739766081871345,6,2,15
0.8183479532163743,6,2,20
0.6911549707602339,6,2,25
0.7821637426900585,6,2,30
0.7503654970760234,6,2,35
0.8333333333333333,6,2,40
0.7997076023391814,6,2,45
0.6571637426900584,6,2,50
0.6644736842105262,6,2,55
0.611842105263158,6,2,60
0.6681286549707602,6,3,10
0.6301169590643274,6,3,15
0.8238304093567251,6,3,20
0.8954678362573099,6,3,25
0.650219298245614,6,3,30
0.8179824561403508,6,3,35
0.7843567251461987,6,3,40
0.8216374269005847,6,3,45
0.7927631578947367,6,3,50
0.6823830409356724,6,3,55
0.8150584795321638,6,3,60
0.8062865497076024,6,4,10
0.8399122807017544,6,4,15
0.7887426900584794,6,4,20
0.7660818713450293,6,4,25
0.7306286549707601,6,4,30
0.7920321637426899,6,4,35
0.7642543859649122,6,4,40
0.824561403508772,6,4,45
0.7858187134502923,6,4,50
0.7467105263157895,6,4,55
0.8026315789473685,6,4,60
0.7960526315789473,6,5,10
0.7478070175438596,6,5,15
0.7127192982456141,6,5,20
0.7569444444444445,6,5,25
0.7598684210526316,6,5,30
0.8223684210526316,6,5,35
0.8099415204678362,6,5,40
0.7631578947368421,6,5,45
0.808845029239766,6,5,50
0.7850877192982456,6,5,55
0.8267543859649122,6,5,60
0.8165204678362572,6,6,10
0.7620614035087718,6,6,15
0.8384502923976607,6,6,20
0.7763157894736841,6,6,25
0.8048245614035088,6,6,30
0.6988304093567251,6,6,35
0.7540204678362573,6,6,40
0.7744883040935673,6,6,45
0.6823830409356725,6,6,50
0.7320906432748538,6,6,55
0.8128654970760233,6,6,60
0.7671783625730995,6,7,10
0.7430555555555556,6,7,15
0.7934941520467835,6,7,20
0.6695906432748537,6,7,25
0.7372076023391813,6,7,30
0.6323099415204678,6,7,35
0.8015350877192983,6,7,40
0.7273391812865497,6,7,45
0.7880116959064327,6,7,50
0.8548976608187134,6,7,55
0.7847222222222222,6,7,60
0.7423245614035089,6,8,10
0.804824561403509,6,8,15
0.6761695906432748,6,8,20
0.7192982456140351,6,8,25
0.7971491228070176,6,8,30
0.6630116959064327,6,8,35
0.8216374269005848,6,8,40
0.7836257309941521,6,8,45
0.7905701754385965,6,8,50
0.7346491228070176,6,8,55
0.7627923976608186,6,8,60
0.8135964912280702,6,9,10
0.7134502923976607,6,9,15
0.736842105263158,6,9,20
0.7883771929824561,6,9,25
0.7379385964912281,6,9,30
0.7781432748538012,6,9,35
0.7021198830409356,6,9,40
0.8139619883040937,6,9,45
0.7445175438596492,6,9,50
0.7269736842105263,6,9,55
0.7463450292397661,6,9,60
0.7657163742690059,6,10,10
0.7934941520467836,6,10,15
0.7741228070175439,6,10,20
0.6853070175438596,6,10,25
0.7916666666666666,6,10,30
0.8340643274853801,6,10,35
0.8373538011695907,6,10,40
0.764985380116959,6,10,45
0.7412280701754386,6,10,50
0.873172514619883,6,10,55
0.8472222222222223,6,10,60
0.7576754385964912,6,11,10
0.8008040935672516,6,11,15
0.7591374269005848,6,11,20
0.7686403508771928,6,11,25
0.7609649122807016,6,11,30
0.7156432748538011,6,11,35
0.7839912280701753,6,11,40
0.8008040935672514,6,11,45
0.6531432748538011,6,11,50
0.8530701754385965,6,11,55
0.7353801169590644,6,11,60
0.5263157894736842,9,1,10
0.5394736842105263,9,1,15
0.5263157894736842,9,1,20
0.6249999999999999,9,1,25
0.5394736842105263,9,1,30
0.5394736842105263,9,1,35
0.5263157894736842,9,1,40
0.5394736842105263,9,1,45
0.513157894736842,9,1,50
0.763888888888889,9,1,55
0.5372807017543859,9,1,60
0.7861842105263157,9,2,10
0.6769005847953216,9,2,15
0.8205409356725145,9,2,20
0.8220029239766082,9,2,25
0.6337719298245613,9,2,30
0.7887426900584795,9,2,35
0.8135964912280702,9,2,40
0.6381578947368421,9,2,45
0.6476608187134503,9,2,50
0.8150584795321637,9,2,55
0.7646198830409356,9,2,60
0.8278508771929823,9,3,10
0.8384502923976609,9,3,15
0.8026315789473686,9,3,20
0.8435672514619882,9,3,25
0.7540204678362574,9,3,30
0.7697368421052632,9,3,35
0.7763157894736843,9,3,40
0.8596491228070176,9,3,45
0.6966374269005847,9,3,50
0.7869152046783625,9,3,55
0.7766812865497076,9,3,60
0.7766812865497076,9,4,10
0.7803362573099416,9,4,15
0.7284356725146199,9,4,20
0.819078947368421,9,4,25
0.7763157894736843,9,4,30
0.8011695906432748,9,4,35
0.6681286549707602,9,4,40
0.8121345029239765,9,4,45
0.7781432748538011,9,4,50
0.7646198830409358,9,4,55
0.8037280701754386,9,4,60
0.7536549707602338,9,5,10
0.798611111111111,9,5,15
0.7923976608187134,9,5,20
0.7653508771929824,9,5,25
0.7741228070175439,9,5,30
0.7744883040935674,9,5,35
0.8230994152046784,9,5,40
0.7441520467836257,9,5,45
0.7865497076023391,9,5,50
0.7079678362573099,9,5,55
0.8150584795321637,9,5,60
0.778874269005848,9,6,10
0.7821637426900585,9,6,15
0.8530701754385965,9,6,20
0.7467105263157894,9,6,25
0.7744883040935673,9,6,30
0.8015350877192983,9,6,35
0.8194444444444444,9,6,40
0.8146929824561403,9,6,45
0.7704678362573099,9,6,50
0.8344298245614035,9,6,55
0.8066520467836257,9,6,60
0.8008040935672514,9,7,10
0.7934941520467836,9,7,15
0.7865497076023391,9,7,20
0.7898391812865497,9,7,25
0.8238304093567252,9,7,30
0.8402777777777777,9,7,35
0.6560672514619884,9,7,40
0.7777777777777778,9,7,45
0.856359649122807,9,7,50
0.8304093567251462,9,7,55
0.8684210526315789,9,7,60
0.7832602339181287,9,8,10
0.8541666666666665,9,8,15
0.793859649122807,9,8,20
0.8205409356725146,9,8,25
0.783625730994152,9,8,30
0.7631578947368423,9,8,35
0.8384502923976609,9,8,40
0.7774122807017544,9,8,45
0.8000730994152047,9,8,50
0.7748538011695907,9,8,55
0.7781432748538013,9,8,60
0.7781432748538011,9,9,10
0.7916666666666666,9,9,15
0.7726608187134503,9,9,20
0.7693713450292398,9,9,25
0.7598684210526316,9,9,30
0.8300438596491226,9,9,35
0.7766812865497077,9,9,40
0.7719298245614035,9,9,45
0.8234649122807016,9,9,50
0.8293128654970758,9,9,55
0.7627923976608186,9,9,60
0.8135964912280702,9,10,10
0.8026315789473684,9,10,15
0.8084795321637426,9,10,20
0.7821637426900585,9,10,25
0.7785087719298246,9,10,30
0.7945906432748537,9,10,35
0.79203216374269,9,10,40
0.7825292397660818,9,10,45
0.8176169590643274,9,10,50
0.8457602339181286,9,10,55
0.7796052631578947,9,10,60
0.8315058479532162,9,11,10
0.8406432748538012,9,11,15
0.8490497076023391,9,11,20
0.8165204678362573,9,11,25
0.8464912280701754,9,11,30
0.8351608187134503,9,11,35
0.8037280701754386,9,11,40
0.8066520467836258,9,11,45
0.8282163742690059,9,11,50
0.8198099415204678,9,11,55
0.7887426900584795,9,11,60
0.5394736842105263,12,1,10
0.6198830409356724,12,1,15
0.7821637426900585,12,1,20
0.5932017543859649,12,1,25
0.5394736842105263,12,1,30
0.6176900584795321,12,1,35
0.6176900584795321,12,1,40
0.5372807017543859,12,1,45
0.6487573099415205,12,1,50
0.5263157894736842,12,1,55
0.7426900584795322,12,1,60
0.7843567251461988,12,2,10
0.7854532163742689,12,2,15
0.7967836257309941,12,2,20
0.7306286549707602,12,2,25
0.8015350877192983,12,2,30
0.7404970760233918,12,2,35
0.7342836257309941,12,2,40
0.7668128654970761,12,2,45
0.7697368421052632,12,2,50
0.8472222222222221,12,2,55
0.7945906432748537,12,2,60
0.8421052631578948,12,3,10
0.8033625730994152,12,3,15
0.8311403508771928,12,3,20
0.6999269005847952,12,3,25
0.7591374269005848,12,3,30
0.7182017543859649,12,3,35
0.77046783625731,12,3,40
0.8490497076023391,12,3,45
0.7682748538011697,12,3,50
0.7306286549707602,12,3,55
0.5928362573099415,12,3,60
0.804093567251462,12,4,10
0.878654970760234,12,4,15
0.7701023391812865,12,4,20
0.8424707602339181,12,4,25
0.8227339181286549,12,4,30
0.8369883040935672,12,4,35
0.8333333333333334,12,4,40
0.8285818713450293,12,4,45
0.6973684210526315,12,4,50
0.8077485380116959,12,4,55
0.6918859649122806,12,4,60
0.8483187134502924,12,5,10
0.8326023391812866,12,5,15
0.8256578947368421,12,5,20
0.7470760233918128,12,5,25
0.8011695906432748,12,5,30
0.7960526315789473,12,5,35
0.7744883040935674,12,5,40
0.8614766081871345,12,5,45
0.8150584795321637,12,5,50
0.7503654970760234,12,5,55
0.802266081871345,12,5,60
0.8114035087719298,12,6,10
0.8538011695906432,12,6,15
0.8077485380116958,12,6,20
0.8230994152046782,12,6,25
0.8410087719298245,12,6,30
0.8154239766081872,12,6,35
0.8709795321637427,12,6,40
0.7982456140350876,12,6,45
0.825657894736842,12,6,50
0.8629385964912281,12,6,55
0.8081140350877194,12,6,60
0.8457602339181286,12,7,10
0.8073830409356726,12,7,15
0.7916666666666666,12,7,20
0.8019005847953217,12,7,25
0.7964181286549707,12,7,30
0.8347953216374269,12,7,35
0.8099415204678363,12,7,40
0.7989766081871346,12,7,45
0.7927631578947368,12,7,50
0.7701023391812866,12,7,55
0.839546783625731,12,7,60
0.7887426900584795,12,8,10
0.8300438596491229,12,8,15
0.8347953216374269,12,8,20
0.8139619883040935,12,8,25
0.8165204678362572,12,8,30
0.8059210526315789,12,8,35
0.823830409356725,12,8,40
0.7945906432748538,12,8,45
0.8336988304093567,12,8,50
0.8132309941520467,12,8,55
0.7733918128654971,12,8,60
0.7620614035087719,12,9,10
0.7638888888888888,12,9,15
0.8077485380116959,12,9,20
0.8205409356725145,12,9,25
0.8168859649122807,12,9,30
0.8585526315789473,12,9,35
0.8457602339181287,12,9,40
0.8267543859649122,12,9,45
0.7927631578947367,12,9,50
0.751827485380117,12,9,55
0.8066520467836256,12,9,60
0.8446637426900585,12,10,10
0.7744883040935673,12,10,15
0.763157894736842,12,10,20
0.7320906432748537,12,10,25
0.8161549707602338,12,10,30
0.835891812865497,12,10,35
0.832236842105263,12,10,40
0.7825292397660819,12,10,45
0.820906432748538,12,10,50
0.8055555555555556,12,10,55
0.8271198830409356,12,10,60
0.7993421052631579,12,11,10
0.7796052631578947,12,11,15
0.8241959064327485,12,11,20
0.7185672514619883,12,11,25
0.83296783625731,12,11,30
0.8505116959064327,12,11,35
0.7730263157894737,12,11,40
0.8428362573099414,12,11,45
0.8132309941520466,12,11,50
0.7960526315789473,12,11,55
0.7781432748538012,12,11,60
0.5350877192982456,15,1,10
0.5910087719298246,15,1,15
0.5964912280701755,15,1,20
0.5986842105263158,15,1,25
0.6366959064327485,15,1,30
0.7576754385964912,15,1,35
0.5953947368421053,15,1,40
0.6187865497076023,15,1,45
0.5932017543859649,15,1,50
0.6249999999999999,15,1,55
0.611111111111111,15,1,60
0.8190789473684209,15,2,10
0.8011695906432746,15,2,15
0.7854532163742689,15,2,20
0.8139619883040936,15,2,25
0.8475877192982455,15,2,30
0.8698830409356725,15,2,35
0.8070175438596492,15,2,40
0.8026315789473684,15,2,45
0.7233187134502924,15,2,50
0.8220029239766081,15,2,55
0.7832602339181287,15,2,60
0.7065058479532164,15,3,10
0.7521929824561403,15,3,15
0.773391812865497,15,3,20
0.7562134502923976,15,3,25
0.7945906432748537,15,3,30
0.8413742690058479,15,3,35
0.8183479532163742,15,3,40
0.823830409356725,15,3,45
0.8552631578947367,15,3,50
0.8205409356725146,15,3,55
0.7708333333333333,15,3,60
0.8271198830409356,15,4,10
0.83296783625731,15,4,15
0.7711988304093567,15,4,20
0.7152777777777777,15,4,25
0.8216374269005846,15,4,30
0.7807017543859649,15,4,35
0.8516081871345029,15,4,40
0.8033625730994152,15,4,45
0.7803362573099415,15,4,50
0.8453947368421052,15,4,55
0.8245614035087719,15,4,60
0.737938596491228,15,5,10
0.8344298245614035,15,5,15
0.815423976608187,15,5,20
0.8315058479532162,15,5,25
0.8333333333333333,15,5,30
0.8241959064327486,15,5,35
0.8552631578947368,15,5,40
0.816154970760234,15,5,45
0.8329678362573099,15,5,50
0.8146929824561402,15,5,55
0.8187134502923976,15,5,60
0.8000730994152048,15,6,10
0.7288011695906433,15,6,15
0.8278508771929824,15,6,20
0.8183479532163742,15,6,25
0.8384502923976608,15,6,30
0.785453216374269,15,6,35
0.8453947368421053,15,6,40
0.7613304093567251,15,6,45
0.8373538011695907,15,6,50
0.7361111111111112,15,6,55
0.8538011695906433,15,6,60
0.8336988304093568,15,7,10
0.810672514619883,15,7,15
0.8220029239766081,15,7,20
0.8033625730994152,15,7,25
0.8223684210526315,15,7,30
0.8380847953216375,15,7,35
0.7448830409356726,15,7,40
0.8307748538011696,15,7,45
0.8026315789473684,15,7,50
0.7989766081871345,15,7,55
0.7887426900584795,15,7,60
0.8691520467836257,15,8,10
0.7923976608187133,15,8,15
0.7872807017543859,15,8,20
0.7861842105263157,15,8,25
0.8077485380116958,15,8,30
0.8406432748538012,15,8,35
0.7587719298245614,15,8,40
0.8527046783625731,15,8,45
0.8278508771929824,15,8,50
0.814327485380117,15,8,55
0.8519736842105263,15,8,60
0.8373538011695906,15,9,10
0.8315058479532162,15,9,15
0.7902046783625729,15,9,20
0.829312865497076,15,9,25
0.7532894736842104,15,9,30
0.8662280701754386,15,9,35
0.8011695906432748,15,9,40
0.8227339181286548,15,9,45
0.8121345029239766,15,9,50
0.8362573099415205,15,9,55
0.8483187134502924,15,9,60
0.7978801169590644,15,10,10
0.8435672514619883,15,10,15
0.7701023391812866,15,10,20
0.7379385964912281,15,10,25
0.7945906432748538,15,10,30
0.8468567251461987,15,10,35
0.8410087719298245,15,10,40
0.7894736842105263,15,10,45
0.8446637426900584,15,10,50
0.852704678362573,15,10,55
0.8351608187134503,15,10,60
0.8044590643274854,15,11,10
0.8523391812865497,15,11,15
0.8081140350877193,15,11,20
0.8267543859649122,15,11,25
0.7744883040935673,15,11,30
0.8556286549707601,15,11,35
0.7942251461988303,15,11,40
0.8205409356725145,15,11,45
0.8907163742690059,15,11,50
0.835891812865497,15,11,55
0.8355263157894737,15,11,60
